Ligando,Pose,Vina_score,Intramol,CNNscore,CNNaffinity
ligando_001,1,-7.05,0.64,0.1051,5.14
ligando_002,1,-9.08,-0.19,0.7252,6.209
ligando_003,1,-8.84,-0.33,0.5811,7.078
ligando_004,1,-6.81,-0.25,0.5563,5.557
ligando_005,1,-6.89,0.05,0.5596,5.899
ligando_006,1,-8.55,-0.57,0.5231,6.864
ligando_007,1,-9.59,0.05,0.7384,7.274
ligando_008,1,-8.13,-0.39,0.6701,6.031
ligando_009,2,-8.5,0.58,0.1731,6.383
ligando_010,1,-9.55,-0.39,0.1841,6.075
ligando_011,1,-8.64,-0.19,0.4991,6.081
ligando_012,1,-4.17,2.32,0.2217,5.06
ligando_013,1,-8.27,-0.75,0.2906,6.29
ligando_014,1,-10.08,0.73,0.2118,5.803
ligando_015,1,-7.23,0.35,0.3315,5.324
ligando_016,1,-10.77,-0.34,0.244,5.995
ligando_017,1,-10.22,-0.43,0.1437,4.923
ligando_018,1,-8.07,-0.3,0.6969,6.382
ligando_019,1,-8.0,-0.09,0.2737,5.152
ligando_020,1,-8.08,0.53,0.5955,6.217
ligando_021,1,-8.93,-0.71,0.472,6.673
ligando_022,2,-0.75,0.64,0.1219,5.446
ligando_023,1,-6.82,0.97,0.8361,5.246
ligando_024,1,-7.54,0.46,0.2605,5.743
ligando_025,1,-10.26,2.27,0.1826,5.562
ligando_026,1,-10.32,0.98,0.2477,6.738
ligando_027,1,-4.12,-0.34,0.2687,6.537
ligando_028,1,-5.96,1.51,0.1768,6.543
ligando_029,1,-9.81,0.7,0.2423,6.301
ligando_030,1,-8.63,-0.13,0.5346,5.716
ligando_031,1,-7.31,-0.72,0.2651,5.866
ligando_032,1,-2.35,-0.97,0.2766,5.671
ligando_033,1,-8.3,-0.22,0.2284,6.658
ligando_034,1,-8.45,-0.08,0.3589,5.203
ligando_035,1,-11.99,0.06,0.7568,7.164
ligando_036,1,-9.31,-0.63,0.4604,6.424
ligando_037,1,-9.29,0.24,0.265,5.366
ligando_038,1,-9.05,0.97,0.7203,6.513
ligando_039,1,-8.71,0.15,0.206,5.503
ligando_040,1,-9.91,-1.01,0.1762,6.42
ligando_041,1,-9.0,-0.33,0.2883,6.646
ligando_042,1,-7.11,-0.89,0.5552,5.288
ligando_043,1,-6.85,0.16,0.3009,5.298
ligando_044,1,-8.66,0.01,0.8003,6.885
ligando_045,1,-8.82,-0.71,0.2356,6.003
ligando_046,1,-8.47,-0.26,0.2319,5.899
ligando_047,1,-8.83,-0.1,0.4771,6.413
ligando_048,1,-7.7,10.91,0.5129,7.418
ligando_049,1,-6.7,-0.55,0.2996,6.104
ligando_050,1,-9.24,0.37,0.3679,6.332
ligando_051,1,-8.18,0.84,0.3978,6.657
ligando_052,1,-10.14,0.07,0.2785,6.302
ligando_053,1,-7.4,-0.23,0.2099,6.012
ligando_054,1,-8.34,0.49,0.5892,6.417
ligando_055,1,-9.77,-0.94,0.1503,6.057
ligando_056,1,-8.34,0.1,0.4017,6.015
ligando_057,2,-8.91,-0.75,0.2109,5.608
ligando_058,1,-8.24,-0.55,0.4038,6.195
ligando_059,1,-8.51,0.55,0.2029,6.148
ligando_060,2,-2.16,-1.4,0.2296,6.259
ligando_061,1,-9.21,-0.19,0.5464,6.795
ligando_062,1,-8.56,0.04,0.2502,6.723
ligando_063,1,-10.36,-0.08,0.1711,5.861
ligando_064,1,-9.84,0.65,0.4579,7.221
ligando_065,1,-4.0,3.5,0.2261,5.133
ligando_066,1,-6.79,-0.35,0.5972,5.25
ligando_067,1,-9.5,0.52,0.4625,6.832
ligando_068,1,-6.98,0.29,0.7627,5.882
ligando_069,1,-8.73,0.32,0.3111,5.282
ligando_070,1,-8.03,-0.6,0.2373,5.993
ligando_071,1,-9.91,-0.71,0.3394,6.698
ligando_072,1,-4.37,0.92,0.3008,6.632
ligando_073,1,-8.43,-0.25,0.4495,5.946
ligando_074,1,-8.3,1.08,0.3225,7.154
ligando_075,1,-9.25,2.21,0.3367,7.068
ligando_076,1,-9.87,1.09,0.1059,6.402
ligando_077,1,-10.46,-0.53,0.5122,6.786
ligando_078,1,-8.86,-0.89,0.1319,5.287
ligando_079,1,-9.74,0.52,0.4123,6.44
ligando_080,1,-8.26,-0.89,0.3323,5.703
ligando_081,1,-1.1,-0.25,0.2365,5.447
ligando_082,1,-5.15,0.09,0.1788,6.18
ligando_083,1,-11.15,1.16,0.6767,7.197
ligando_084,1,-6.22,-0.12,0.783,4.815
ligando_085,1,-6.91,-0.09,0.7921,5.398
ligando_086,1,-1.75,0.01,0.708,5.29
ligando_087,1,-6.38,-0.92,0.4752,5.407
ligando_088,1,-6.84,0.12,0.4891,6.164
ligando_089,1,-9.04,-0.87,0.2571,6.35
ligando_090,1,-11.38,-0.08,0.4139,7.123
ligando_091,1,-8.23,-1.05,0.2003,5.676
ligando_092,1,-7.36,1.27,0.1917,5.706
ligando_093,1,-5.89,-0.24,0.5337,5.164
ligando_094,1,-8.55,-0.7,0.7209,6.835
ligando_095,1,-2.48,-0.32,0.3586,6.557
ligando_096,1,-6.12,0.71,0.4387,6.826
ligando_097,1,-10.87,0.77,0.6344,7.365
ligando_098,1,-9.84,1.52,0.1968,6.496
ligando_099,1,-8.44,0.2,0.1104,5.76
ligando_100,1,-11.83,2.12,0.1984,6.621
ligando_101,1,-7.89,1.05,0.5801,6.223
ligando_102,2,-10.18,0.36,0.2783,6.307
ligando_103,1,-9.08,0.98,0.3553,6.582
ligando_104,2,-9.64,-0.03,0.2637,6.726
ligando_105,1,-7.81,-0.7,0.1944,5.188
ligando_106,1,-7.8,-0.01,0.2335,5.721
ligando_107,1,-7.54,0.06,0.3423,5.502
ligando_108,1,-9.02,-0.73,0.2892,5.761
ligando_109,1,-8.63,2.08,0.2861,6.185
ligando_110,1,-7.79,0.2,0.2419,7.131
ligando_111,1,-7.55,0.24,0.5744,6.344
ligando_112,1,-8.48,0.06,0.6391,6.584
ligando_113,1,-10.8,1.77,0.3829,6.456
ligando_114,1,-8.43,-0.3,0.4774,6.621
ligando_115,3,-9.79,-0.16,0.1829,6.033
ligando_116,1,-5.58,-0.34,0.5087,4.783
ligando_117,1,-7.21,-1.01,0.6685,5.819
