Ligando,Pose,Vina_score,Intramol,CNNscore,CNNaffinity
ligando_001,2,-6.97,-0.1,0.2793,5.388
ligando_002,1,-8.34,0.1,0.4017,6.015
ligando_003,1,-9.69,1.72,0.4013,6.736
ligando_004,2,-5.24,0.3,0.3839,5.219
ligando_005,1,-5.38,2.39,0.3194,5.818
ligando_006,1,-8.81,0.84,0.1726,5.572
ligando_007,1,-9.87,0.88,0.1798,6.007
ligando_008,1,-6.8,-0.07,0.5001,6.666
ligando_009,1,-7.54,0.46,0.2605,5.743
ligando_010,2,-10.41,0.82,0.1745,6.356
ligando_011,1,-8.63,-0.01,0.1122,5.282
ligando_012,1,-9.19,0.78,0.49,6.587
ligando_013,1,-7.74,0.58,0.7893,6.295
ligando_014,1,-8.48,-0.66,0.4559,5.633
ligando_015,1,-9.78,0.79,0.4592,6.161
ligando_016,1,-8.36,0.1,0.1789,5.854
ligando_017,1,-10.71,0.78,0.4346,6.168
ligando_018,1,-10.4,1.35,0.5447,6.421
ligando_019,1,-10.98,1.04,0.7466,6.376
ligando_020,1,-4.71,-0.34,0.2394,4.789
ligando_021,1,-11.0,0.18,0.5174,6.865
ligando_022,1,-9.71,0.07,0.6423,7.356
ligando_023,2,-11.51,0.55,0.248,6.783
ligando_024,1,-7.08,-0.08,0.3465,5.802
ligando_025,1,-8.41,0.88,0.7322,6.3
ligando_026,1,-5.54,1.14,0.2517,6.21
ligando_027,1,-8.79,0.43,0.252,5.664
ligando_028,1,-9.47,-1.11,0.3934,6.687
ligando_029,1,-8.11,-0.15,0.1852,5.172
ligando_030,1,-7.17,0.49,0.3565,5.721
ligando_031,1,-7.47,-0.28,0.2318,5.244
ligando_032,1,-8.04,0.24,0.2296,5.704
ligando_033,1,-9.49,-0.24,0.7037,6.856
ligando_034,1,-9.57,-0.05,0.3182,5.936
ligando_035,1,-7.61,-0.7,0.3848,5.943
ligando_036,1,-7.01,-0.3,0.5081,6.814
ligando_037,1,-8.64,-0.19,0.4991,6.081
ligando_038,1,-10.26,2.27,0.1826,5.562
ligando_039,1,-9.55,-0.12,0.1581,4.941
ligando_040,1,-8.53,-0.58,0.4545,6.278
ligando_041,3,-7.33,0.97,0.1787,5.869
ligando_042,1,-8.69,-0.34,0.4804,6.634
ligando_043,1,-10.13,1.1,0.5129,5.991
ligando_044,1,-8.27,-1.04,0.2061,6.841
ligando_045,1,-8.9,1.77,0.4414,6.838
ligando_046,1,-11.38,-0.08,0.4139,7.123
ligando_047,1,-8.73,-1.19,0.2017,7.033
ligando_048,1,-9.85,-0.5,0.5192,6.893
ligando_049,1,-8.22,0.05,0.2199,6.279
ligando_050,1,-9.01,1.59,0.3035,6.425
ligando_051,1,-8.89,0.77,0.2112,6.424
ligando_052,1,-8.89,0.78,0.1833,6.157
ligando_053,1,-11.72,-0.06,0.3583,6.731
ligando_054,1,-8.76,-0.32,0.4506,6.204
ligando_055,1,-9.32,-0.32,0.3644,6.09
ligando_056,1,-8.88,-0.3,0.4323,6.774
ligando_057,1,-8.26,-0.53,0.6249,6.565
ligando_058,1,-8.27,0.55,0.5979,6.378
ligando_059,1,-10.67,-0.16,0.3396,6.623
ligando_060,1,-9.23,-0.26,0.2546,5.898
ligando_061,1,-8.34,0.49,0.5892,6.417
ligando_062,1,-5.31,-0.11,0.7587,6.343
ligando_063,1,-7.11,-0.89,0.5552,5.288
ligando_064,1,-9.52,0.48,0.1321,5.004
ligando_065,1,-7.57,-0.46,0.61,5.91
ligando_066,1,-6.99,-0.22,0.6478,5.137
ligando_067,1,-9.49,1.19,0.4443,6.978
ligando_068,1,-6.34,1.42,0.2347,6.349
ligando_069,1,-9.08,-0.19,0.7252,6.209
ligando_070,1,-8.12,0.39,0.4428,5.391
ligando_071,2,-0.75,0.64,0.1219,5.446
ligando_072,4,-4.47,-0.89,0.2015,3.954
ligando_073,1,-9.43,0.3,0.1904,5.904
ligando_074,1,-9.82,0.41,0.2725,6.303
ligando_075,1,-10.13,0.69,0.2008,5.731
ligando_076,1,-9.77,-0.94,0.1503,6.057
ligando_077,1,-7.22,-1.2,0.2043,6.184
ligando_078,1,-9.13,0.26,0.199,5.951
ligando_079,1,-9.69,0.13,0.2847,6.694
ligando_080,2,-8.69,-0.19,0.2062,5.907
ligando_081,1,-9.84,1.52,0.1968,6.496
ligando_082,1,-10.56,-0.09,0.2805,6.1
ligando_083,1,-7.87,-0.2,0.298,5.823
ligando_084,1,-10.11,-0.45,0.3403,6.069
ligando_085,1,-10.22,0.54,0.2303,6.3
ligando_086,1,-7.28,0.74,0.2066,5.572
ligando_087,1,-8.48,-0.25,0.7181,6.364
ligando_088,1,-7.99,-0.38,0.7991,6.877
ligando_089,1,-9.07,-0.0,0.1812,5.999
ligando_090,1,-10.36,0.31,0.2334,5.555
ligando_091,1,-4.25,0.64,0.2631,5.788
ligando_092,1,-8.59,-0.26,0.8106,6.72
ligando_093,1,-8.28,-0.22,0.6767,6.829
ligando_094,1,-9.48,-0.54,0.7561,7.034
ligando_095,1,-8.75,-0.07,0.4646,5.746
ligando_096,1,-7.8,-0.3,0.4189,6.622
ligando_097,1,-9.05,-0.92,0.6761,7.067
ligando_098,1,-8.13,-0.39,0.6701,6.031
ligando_099,1,-10.02,0.65,0.2807,6.414
ligando_100,1,-8.24,-0.76,0.3411,6.492
ligando_101,1,-8.05,1.0,0.3087,6.351
ligando_102,1,-3.6,-0.4,0.6082,4.119
ligando_103,1,-9.33,-0.33,0.25,5.207
ligando_104,1,-7.97,0.31,0.4584,6.563
ligando_105,1,-9.27,0.27,0.3236,6.468
ligando_106,1,-8.14,-0.44,0.3898,6.266
ligando_107,1,-9.01,0.48,0.2442,6.339
ligando_108,1,-9.22,1.75,0.5678,7.107
ligando_109,1,-8.84,-0.82,0.4355,6.67
ligando_110,1,-8.1,0.6,0.5243,6.502
ligando_111,1,-10.06,0.13,0.3335,5.875
ligando_112,1,-8.92,0.42,0.5308,6.957
ligando_113,1,-10.15,0.14,0.661,6.43
ligando_114,1,-8.81,1.18,0.5823,6.755
ligando_115,1,-9.32,1.24,0.4376,6.213
ligando_116,1,-9.21,0.37,0.7237,6.55
ligando_117,1,-9.03,0.5,0.5748,6.652
ligando_118,1,-10.77,0.47,0.2139,6.602
ligando_119,1,-8.89,-0.36,0.1783,6.374
ligando_120,1,-8.34,-0.46,0.6197,6.094
ligando_121,1,-9.24,-0.32,0.178,6.197
ligando_122,1,-7.32,1.09,0.5214,4.536
ligando_123,1,-6.49,-0.3,0.3957,5.087
ligando_124,2,-9.86,0.89,0.4682,6.821
ligando_125,1,-10.19,1.0,0.4412,6.768
ligando_126,1,-10.08,-0.92,0.572,7.066
ligando_127,1,-11.18,0.2,0.5284,6.777
ligando_128,1,-8.49,0.2,0.2347,5.987
ligando_129,1,-9.94,-0.51,0.4337,6.867
ligando_130,1,-8.58,-0.39,0.2288,6.788
ligando_131,1,-9.02,1.97,0.6038,6.991
ligando_132,1,-8.26,0.14,0.3064,5.496
ligando_133,1,-8.5,0.2,0.3874,6.656
ligando_134,1,-8.86,-0.89,0.1319,5.287
ligando_135,1,-9.5,-0.25,0.1989,5.876
ligando_136,1,-9.93,-0.11,0.1768,6.303
ligando_137,1,-7.23,-0.12,0.7262,6.499
ligando_138,1,-8.21,-0.36,0.4773,5.51
ligando_139,1,-9.87,-0.75,0.5376,7.557
ligando_140,1,-9.26,0.16,0.3045,6.628
ligando_141,1,-9.04,-0.87,0.2571,6.35
ligando_142,1,-8.6,-0.66,0.5455,6.996
ligando_143,1,-9.45,0.29,0.8494,7.068
ligando_144,1,-8.71,-0.35,0.1646,6.819
ligando_145,1,-8.16,-1.14,0.1234,6.396
ligando_146,1,-8.59,0.99,0.4124,6.594
ligando_147,1,-10.73,0.48,0.5463,6.837
ligando_148,1,-8.45,-0.54,0.4894,6.668
ligando_149,1,-8.09,0.61,0.3174,5.483
ligando_150,1,-9.64,0.32,0.1955,6.514
ligando_151,1,-11.83,2.12,0.1984,6.621
ligando_152,1,-6.86,-0.76,0.105,6.183
ligando_153,1,-8.28,0.13,0.3979,5.474
ligando_154,1,-8.65,-0.4,0.2694,6.454
ligando_155,1,-9.71,0.72,0.3781,6.689
ligando_156,1,-7.91,-0.46,0.7317,6.23
ligando_157,1,-7.23,-0.42,0.7317,5.976
ligando_158,1,-9.34,0.7,0.1463,5.366
ligando_159,1,-8.11,-0.33,0.3697,6.025
ligando_160,2,-7.02,-0.07,0.2408,5.906
ligando_161,1,-8.48,1.7,0.3909,6.216
ligando_162,1,-8.66,0.74,0.6537,6.924
ligando_163,1,-11.07,-0.28,0.116,6.459
ligando_164,1,-9.88,0.25,0.5286,6.817
ligando_165,1,-9.88,-0.04,0.6194,7.068
ligando_166,1,-8.24,0.89,0.5855,7.051
ligando_167,1,-9.2,-0.39,0.2198,5.628
ligando_168,1,-7.31,-0.21,0.4431,5.357
ligando_169,1,-9.89,0.45,0.4003,6.86
ligando_170,1,-10.04,-0.4,0.539,6.782
ligando_171,1,-3.41,-0.89,0.5854,5.29
ligando_172,1,-7.89,1.05,0.5801,6.223
ligando_173,1,-7.6,0.17,0.7319,6.359
ligando_174,1,-9.85,1.48,0.2187,6.047
ligando_175,2,-1.63,-0.0,0.2007,6.123
ligando_176,1,-9.2,0.37,0.3715,6.155
ligando_177,1,-8.89,0.25,0.5826,6.471
ligando_178,4,-2.32,-0.5,0.2713,4.441
ligando_179,1,-4.5,-0.54,0.3869,4.793
ligando_180,1,-10.81,-0.41,0.1914,6.766
ligando_181,1,-9.22,0.43,0.5857,6.298
ligando_182,1,-9.55,0.04,0.2435,6.089
ligando_183,1,-7.54,-0.53,0.281,6.07
ligando_184,1,-9.4,-0.02,0.5124,6.428
ligando_185,1,-6.09,0.4,0.3335,6.735
ligando_186,1,-9.0,-0.21,0.3061,6.082
ligando_187,1,-9.42,-0.65,0.5445,7.53
ligando_188,1,-9.57,-0.71,0.2101,6.261
ligando_189,1,-8.77,-0.29,0.3604,6.282
ligando_190,1,-9.61,-0.63,0.542,7.136
ligando_191,1,-9.66,3.63,0.5065,6.359
ligando_192,1,-10.14,0.43,0.3815,6.363
ligando_193,4,-1.03,-0.81,0.1874,6.059
ligando_194,1,-8.67,0.24,0.4266,6.647
ligando_195,1,-9.46,-0.51,0.2425,6.235
ligando_196,1,-9.95,0.11,0.5781,6.715
ligando_197,1,-10.17,-0.2,0.2627,5.989
ligando_198,1,-8.08,-0.34,0.7472,6.539
ligando_199,1,-9.72,0.13,0.6092,6.553
ligando_200,1,-7.82,-0.62,0.6947,6.718
ligando_201,1,-10.13,-0.58,0.4303,7.07
ligando_202,1,-9.75,0.13,0.5503,6.445
ligando_203,1,-11.04,0.05,0.7514,7.34
ligando_204,1,-8.83,-0.48,0.2881,6.115
ligando_205,1,-8.05,0.75,0.5882,6.507
ligando_206,1,-9.74,0.52,0.4123,6.44
ligando_207,1,-6.61,-0.52,0.4485,5.856
ligando_208,1,-8.75,-0.58,0.4079,6.196
ligando_209,1,-10.47,-0.05,0.0906,6.179
ligando_210,1,-8.57,-0.38,0.2431,5.916
ligando_211,1,-8.95,-0.34,0.4539,6.191
ligando_212,1,-8.74,-0.58,0.1528,5.869
ligando_213,1,-9.71,0.77,0.2007,5.282
ligando_214,1,-9.88,0.15,0.5013,6.678
ligando_215,1,-7.61,-0.26,0.5043,6.622
ligando_216,1,-8.93,-0.52,0.26,4.754
ligando_217,1,-9.09,-0.43,0.1489,6.281
ligando_218,1,-10.39,-0.03,0.5236,6.925
ligando_219,1,-10.01,-0.51,0.4997,6.312
ligando_220,1,-9.75,-0.46,0.6461,7.306
ligando_221,1,-3.08,-0.26,0.401,5.806
ligando_222,1,-8.33,-0.31,0.4238,6.026
ligando_223,1,-9.55,-0.8,0.0863,5.818
ligando_224,1,-9.59,0.05,0.7384,7.274
ligando_225,1,-10.93,0.1,0.6702,6.919
ligando_226,1,-6.5,-0.58,0.2318,6.022
ligando_227,1,-10.31,-0.73,0.2196,5.322
ligando_228,1,-8.41,-0.3,0.1881,6.611
ligando_229,1,-9.32,-0.28,0.7563,7.169
ligando_230,1,-9.83,-0.45,0.169,6.75
ligando_231,1,-8.03,0.28,0.7663,6.366
ligando_232,1,-4.99,1.95,0.226,6.083
ligando_233,1,-9.21,-0.65,0.174,6.144
ligando_234,1,-8.32,1.43,0.8968,7.032
ligando_235,1,-7.85,0.11,0.165,5.702
ligando_236,1,-8.5,1.09,0.7571,7.203
ligando_237,2,-9.08,-0.47,0.1298,5.233
ligando_238,2,-5.84,-0.54,0.3419,5.228
ligando_239,1,-6.32,-0.41,0.3813,7.136
ligando_240,1,-8.18,-0.84,0.2533,5.538
ligando_241,1,-9.11,0.15,0.2323,6.426
ligando_242,1,-10.3,0.45,0.4079,6.385
ligando_243,1,-8.3,1.08,0.3225,7.154
ligando_244,1,-8.75,-1.01,0.2008,6.424
ligando_245,1,-9.27,-0.32,0.2479,5.827
ligando_246,1,-9.76,0.75,0.5832,6.843
ligando_247,1,-10.15,-0.21,0.4402,6.499
ligando_248,1,-8.55,2.65,0.379,6.297
ligando_249,1,-8.52,1.41,0.2928,6.184
ligando_250,1,-9.39,2.52,0.4516,7.077
ligando_251,1,-10.49,-0.51,0.6344,6.909
ligando_252,2,-10.18,0.36,0.2783,6.307
ligando_253,1,-10.14,0.07,0.2785,6.302
ligando_254,1,-7.6,0.24,0.2576,6.014
ligando_255,1,-10.15,-0.79,0.2909,6.779
ligando_256,1,-9.56,1.05,0.227,7.033
ligando_257,1,-10.51,0.37,0.5046,6.741
ligando_258,1,-7.37,-0.65,0.3235,5.336
ligando_259,1,-8.32,0.68,0.4527,6.32
ligando_260,1,-7.49,-0.31,0.2821,6.288
ligando_261,1,-9.35,0.95,0.1605,6.073
ligando_262,1,-10.52,0.68,0.1441,5.907
ligando_263,1,-8.1,-0.45,0.5348,7.229
ligando_264,1,-10.36,-0.08,0.1711,5.861
ligando_265,1,-4.9,0.04,0.3781,5.92
ligando_266,1,-8.16,0.2,0.3689,6.345
ligando_267,1,-8.32,0.7,0.4113,6.666
ligando_268,1,-8.5,0.27,0.7841,6.044
ligando_269,2,-8.91,-0.75,0.2109,5.608
ligando_270,1,-8.72,0.11,0.6469,5.974
ligando_271,1,-10.58,-0.46,0.4381,6.469
ligando_272,1,-10.22,0.15,0.4297,6.512
ligando_273,1,-9.81,1.59,0.6554,6.947
ligando_274,1,-10.11,0.17,0.101,6.202
ligando_275,1,-8.88,0.63,0.4439,6.495
ligando_276,1,-9.72,-0.38,0.4195,6.704
ligando_277,1,-6.38,-0.29,0.4153,4.54
ligando_278,1,-7.31,0.28,0.6632,6.387
ligando_279,1,-8.22,0.28,0.5028,6.201
ligando_280,1,-8.39,0.29,0.3721,6.53
ligando_281,1,-9.08,0.98,0.3553,6.582
ligando_282,1,-8.05,-0.07,0.8505,5.47
ligando_283,1,-7.89,2.43,0.2481,6.183
ligando_284,1,-11.05,2.06,0.3432,6.351
ligando_285,1,-7.29,-0.47,0.4287,4.485
ligando_286,1,-9.11,1.5,0.6652,7.331
ligando_287,1,-10.81,1.94,0.3888,7.698
ligando_288,1,-9.44,-0.39,0.6761,5.967
ligando_289,1,-9.23,-0.39,0.3512,6.21
ligando_290,1,-8.89,-0.73,0.5715,6.655
ligando_291,1,-8.35,0.05,0.2076,5.562
ligando_292,1,-9.83,0.93,0.1604,6.042
ligando_293,2,-3.62,-0.26,0.2047,5.848
ligando_294,1,-8.24,-0.08,0.2603,6.376
ligando_295,1,-10.07,0.36,0.1468,6.599
ligando_296,1,-8.38,1.21,0.0849,4.969
ligando_297,1,-7.57,-0.47,0.4595,4.556
ligando_298,1,-8.83,-0.46,0.7036,6.704
ligando_299,1,-8.83,-0.23,0.3054,5.676
ligando_300,1,-8.76,-0.7,0.3589,6.382
ligando_301,1,-9.41,0.37,0.2089,6.363
ligando_302,1,-1.1,-0.25,0.2365,5.447
ligando_303,1,-10.65,0.1,0.4156,7.083
ligando_304,1,-9.59,0.21,0.2953,6.955
ligando_305,1,-9.56,-0.59,0.3239,6.203
ligando_306,1,-9.39,1.03,0.6229,7.448
ligando_307,1,-8.49,0.46,0.6555,6.71
ligando_308,1,-8.71,0.54,0.2155,5.626
ligando_309,1,-9.52,-0.72,0.2641,6.527
ligando_310,1,-4.32,0.76,0.2296,4.923
