"Ligando","Pose","Vina_score","Intramol","CNNscore","CNNaffinity"
"ligando_453",1,-10.61,1.51,0.8281,7.36
"ligando_581",1,-10.09,0.17,0.8091,7.096
"ligando_564",1,-10.51,-0.32,0.7769,6.683
"ligando_607",1,-11.99,0.06,0.7568,7.164
"ligando_203",1,-11.04,0.05,0.7514,7.34
"ligando_019",1,-10.98,1.04,0.7466,6.376
"ligando_539",1,-12.06,1.31,0.6792,7.244
"ligando_420",1,-11.15,1.16,0.6767,7.197
"ligando_520",1,-11.25,-0.58,0.6745,6.343
"ligando_225",1,-10.93,0.1,0.6702,6.919
"ligando_113",1,-10.15,0.14,0.661,6.43
"ligando_251",1,-10.49,-0.51,0.6344,6.909
"ligando_688",1,-10.87,0.77,0.6344,7.365
"ligando_402",1,-10.81,1.14,0.6185,7.352
"ligando_548",1,-10.7,1.01,0.6057,7.282
"ligando_737",1,-10.29,-0.96,0.573,7.017
"ligando_126",1,-10.08,-0.92,0.572,7.066
"ligando_323",1,-10.66,0.5,0.5628,6.691
"ligando_540",1,-10.41,1.16,0.5508,6.797
"ligando_633",1,-10,0,0.5481,6.573
"ligando_147",1,-10.73,0.48,0.5463,6.837
"ligando_018",1,-10.4,1.35,0.5447,6.421
"ligando_170",1,-10.04,-0.4,0.539,6.782
"ligando_127",1,-11.18,0.2,0.5284,6.777
"ligando_218",1,-10.39,-0.03,0.5236,6.925
"ligando_021",1,-11,0.18,0.5174,6.865
"ligando_043",1,-10.13,1.1,0.5129,5.991
"ligando_691",1,-10.46,-0.53,0.5122,6.786
"ligando_726",1,-10.2,0.72,0.5064,6.667
"ligando_257",1,-10.51,0.37,0.5046,6.741
"ligando_670",1,-11.62,4.29,0.502,7.128
