Ligando,Pose,Affinity,CNNscore,CNNaffinity
ligando_001,1,-7.05,0.1051,5.14
ligando_001,2,-9.05,0.0929,5.204
ligando_001,3,-8.13,0.0916,5.009
ligando_001,4,-7.45,0.085,4.95
ligando_001,5,-7.72,0.0784,4.947
ligando_001,6,-6.89,0.0693,5.495
ligando_001,7,-4.41,0.0686,5.467
ligando_001,8,-5.75,0.0646,5.015
ligando_001,9,-7.39,0.0627,4.756
ligando_001,10,-7.93,0.0624,4.92
ligando_002,1,-9.08,0.7252,6.209
ligando_002,2,-8.62,0.5567,6.115
ligando_002,3,-9.06,0.5511,6.384
ligando_002,4,-8.43,0.4148,5.79
ligando_002,5,-8.39,0.2236,4.998
ligando_002,6,-9.68,0.1509,5.639
ligando_002,7,-9.02,0.1442,5.297
ligando_002,8,-9.97,0.1378,5.141
ligando_002,9,-8.15,0.113,5.768
ligando_002,10,-7.87,0.1024,4.428
ligando_003,1,-8.84,0.5811,7.078
ligando_003,2,-8.42,0.2839,6.536
ligando_003,3,-7.9,0.283,6.671
ligando_003,4,-7.97,0.1802,6.581
ligando_003,5,-9.35,0.1752,6.446
ligando_003,6,-9.32,0.1498,6.248
ligando_003,7,-9.61,0.0786,5.739
ligando_003,8,-9.21,0.0767,5.659
ligando_003,9,-8.9,0.0694,6.151
ligando_003,10,-9.66,0.0638,5.332
ligando_004,1,-6.81,0.5563,5.557
ligando_004,2,-7.35,0.3525,4.81
ligando_004,3,-7.9,0.3523,5.356
ligando_004,4,-7.7,0.2878,5.508
ligando_004,5,-6.8,0.284,5.109
ligando_004,6,-7.31,0.2303,4.426
ligando_004,7,-7.88,0.2072,5.045
ligando_004,8,-7.92,0.1913,4.568
ligando_004,9,-6.93,0.1696,4.87
ligando_004,10,-7.23,0.167,4.767
ligando_005,1,-6.89,0.5596,5.899
ligando_005,2,-7.55,0.5397,5.118
ligando_005,3,-6.75,0.4494,4.623
ligando_005,4,-6.87,0.3454,5.193
ligando_005,5,-6.43,0.3438,4.848
ligando_005,6,-7.08,0.3263,4.759
ligando_005,7,-7.15,0.2915,4.777
ligando_005,8,-7.28,0.2811,4.773
ligando_005,9,-6.65,0.257,4.754
ligando_005,10,-8.21,0.2324,4.783
ligando_006,1,-8.55,0.5231,6.864
ligando_006,2,-8.63,0.3785,6.637
ligando_006,3,-8.07,0.318,6.214
ligando_006,4,-10.23,0.2974,6.231
ligando_006,5,-9.74,0.2052,6.225
